Color,Material,Typography,Branding Element,Packaging Functionality,Visual Imagery,Labeling Information,Economic Status,Metropolitan,Number of Outlets,Product Category,Sales
Black,Metal,Courier New,Slogan,One Time Use,Graphics,Nutritional Value,Lower Middle Class,Urban,18,Food,2299
Blue,Paper,Arial,Logo,Easy to Open,Icons,Nutritional Value,Rich,Rural,13,Decor,1440
Red,Metal,Arial,Logo & Slogan,Resealable,Icons,Ingredients,Upper Middle Class,Rural,21,Stationary,1042
Blue,Glass,Verdana,Logo,Resealable,Icons,Ingredients,Upper Middle Class,Rural,19,Clothing,1186
White,Metal,Courier New,Logo,Easy to Open,Icons,Storage Solutions,Rich,Urban,11,Decor,2086
Blue,Paper,Courier New,Slogan,Easy to Open,Icons,Certifications,Poor,Urban,20,Kitchen Utilities,2211
Blue,Paper,Times New Roman,Logo,One Time Use,Images,Nutritional Value,Poor,Rural,20,Stationary,2923
Violet,Paper,Courier New,Logo & Slogan,Recyclable,Graphics,Certifications,Lower Middle Class,Urban,15,Drinks,1916
Black,Cardboard,Arial,Brand Name,Easy to Open,Graphics,Allergen Information,Rich,Urban,18,Clothing,1286
Blue,Glass,Courier New,Logo,Recyclable,Icons,Certifications,Lower Middle Class,Urban,15,Decor,1561
Green,Metal,Helvetica,Logo & Slogan,Resealable,Images,Ingredients,Upper Middle Class,Rural,22,Drinks,1418
Indigo,Paper,Times New Roman,Slogan,Portable,Images,Nutritional Value,Upper Middle Class,Rural,29,Food,1814
Orange,Plastic,Verdana,Brand Name,Portable,Icons,Recipes,Poor,Rural,29,Kitchen Utilities,2667
Red,Paper,Arial,Brand Name,One Time Use,Graphics,Storage Solutions,Poor,Urban,24,Makeup or Skincare,2031
Violet,Cardboard,Courier New,Slogan,Easy to Open,Graphics,Storage Solutions,Rich,Urban,26,Stationary,1544
White,Plastic,Times New Roman,Logo,Portable,Images,Certifications,Upper Middle Class,Urban,19,Kitchen Utilities,2471
Yellow,Glass,Helvetica,Logo & Slogan,Resealable,Images,Nutritional Value,Upper Middle Class,Rural,30,Stationary,1354
